"시점","항목",계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
"2004","밭벼:조곡:생산량 (톤)",56788,0,10,95,132,562,0,166,-,961,611,611,1924,4605,40041,1357,1703,4010
"2005","합계:면적 (ha)",979717,455,4613,4776,16200,7619,2280,7537,-,108106,43964,53488,166573,144091,199366,127826,91615,1208
"2005","합계:생산량:조곡 (톤)",6434972,2899,28971,30580,107127,46427,15286,45310,-,696740,285072,348024,1169034,965193,1252038,853943,584186,4142
"2005","논벼:면적 (ha)",966838,455,4610,4755,16181,7509,2280,7484,-,107860,43814,53417,166166,143399,190090,127490,91277,51
"2005","논벼:10a당 생산량 (kg)",661,637,628,642,662,612,670,603,-,645,650,651,705,671,640,669,639,590
"2005","논벼:조곡:생산량 (톤)",6386843,2899,28962,30516,107061,45972,15286,45128,-,695889,284644,347763,1167235,962550,1216604,852915,583118,301
"2005","밭벼:면적 (ha)",12879,0,3,21,19,110,0,53,-,246,150,71,407,692,9276,336,338,1157
"2005","밭벼:10a당 생산량 (kg)",374,0,316,306,346,414,0,344,-,346,285,367,442,382,382,306,316,332
"2005","밭벼:조곡:생산량 (톤)",48129,0,9,64,66,455,0,182,-,851,428,261,1799,2643,35434,1028,1068,3841
"2006","합계:면적 (ha)",955229,511,4192,4764,14806,6943,1958,7033,-,103281,42286,51744,163398,142466,195161,124537,91222,927
